trans_id;mach_id;acc_from;acc_to;t_sum;t_date;successful;t_descript
1;1;1;NULL;357;02.11.2022;TRUE;smth
2;1;1;2;32;02.11.2022;TRUE;smth
3;1;1;NULL;745;02.11.2022;FALSE;smth
4;1;2;1;3884;02.11.2022;FALSE;smth
5;2;2;6;34854;02.11.2022;FALSE;smth
6;3;2;NULL;246;02.11.2022;TRUE;smth
7;4;2;9;2347;02.11.2022;TRUE;smth
8;4;4;5;3784;02.11.2022;TRUE;smth
9;6;4;5;3438;02.11.2022;TRUE;smth
10;6;4;7;375;02.11.2022;TRUE;smth
11;6;4;9;3478;02.11.2022;TRUE;smth
12;8;2;NULL;3278;02.11.2022;FALSE;smth
13;9;3;NULL;3695;02.11.2022;TRUE;smth
14;9;7;NULL;96;02.11.2022;FALSE;smth
15;7;8;NULL;48;02.11.2022;TRUE;smth
